"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"1","3/1/2026","Shooting","Outside","Firearm","Male","23","Black or African American","Not Hispanic or Latino","1000 ORLEANS ST","Central","Pleasant View Gardens",39.294588,-76.604942,"Gas station","6:50","p.m."
"2","3/8/2026","Shooting","Outside","Handgun","Male","14","Black or African American","Unknown","1000 ABBOTT CT","Central","Oldtown",39.30134,-76.603126,"Street","3:00","a.m."
"3","3/4/2026","Shooting","Inside","Unknown","Male","54","Black or African American","Unknown","4900 NELSON AVE","Northwest","Langston Hughes",39.3427,-76.679771,"Other/residential","11:30","a.m."
"4","3/8/2026","Shooting","Inside","Handgun","Male","29","Black or African American","Not Hispanic or Latino","600 N CALHOUN ST","Western","Harlem Park",39.296678,-76.639825,"Other/residential","6:53","a.m."
"5","3/8/2026","Shooting","Outside","Handgun","Male","35","Black or African American","Not Hispanic or Latino","800 GUILFORD AVE","Central","Mount Vernon",39.299162,-76.612192,"Street","7:00","a.m."
"6","2/17/2026","Shooting","Outside","Firearm","Male","27","Black or African American","Not Hispanic or Latino","2400 LIBERTY HEIGHTS AVE","Western","Mondawmin",39.318693,-76.6544,"Street","2:29","a.m."
"7","3/1/2026","Shooting","Inside","Handgun","Male","16","Black or African American","Not Hispanic or Latino","3000 WESTWOOD AVE","Northwest","Northwest Community Action",39.307833,-76.668756,"Other/residential","3:44","a.m."
"8","2/24/2026","Shooting","Outside","Automatic firearm","Male","40","Black or African American","Not Hispanic or Latino","4900 REISTERSTOWN RD","Northwest","Lucille Park",39.342014,-76.678137,"Street","3:45","a.m."
"9","2/17/2026","Shooting","Inside","Handgun","Male","36","Black or African American","Not Hispanic or Latino","3100 GREENMOUNT AVE","Northern","Abell",39.326924,-76.609642,"Tavern/night club","6:15","a.m."
"10","2/18/2026","Shooting","Outside","Firearm","Male","17","Black or African American","Not Hispanic or Latino","400 PRESSTMAN ST","Western","Druid Heights",39.308642,-76.633899,"Street","6:52","a.m."
"11","2/17/2026","Shooting","Outside","Firearm","Male","19","Black or African American","Not Hispanic or Latino","2400 LIBERTY HEIGHTS AVE","Western","Mondawmin",39.318693,-76.6544,"Street","2:29","a.m."
"12","2/17/2026","Shooting","Outside","Firearm","Male","25","Black or African American","Unknown","2400 LIBERTY HEIGHTS AVE","Western","Mondawmin",39.318693,-76.6544,"Street","2:29","a.m."
"13","2/26/2026","Shooting","Inside","Firearm","Male","28","Native Hawaiian or other Pacific Islander","Hispanic or Latino","2900 BOARMAN AVE","Northern","Towanda-Grantley",39.337054,-76.670498,"Other/residential","7:50","a.m."
"14","2/18/2026","Shooting","Outside","Firearm","Male","40","Black or African American","Unknown","800 REINHARDT ST","Southern","Washington Village/Pigtown",39.282372,-76.630857,"Street","11:52","p.m."
"15","2/10/2026","Shooting","Outside","Firearm","Male","26","None reported","Hispanic or Latino","4000 5TH ST","Southern","Brooklyn",39.232583,-76.60635,"Street","11:00","a.m."
"16","2/15/2026","Shooting","Inside","Firearm","Male","16","Black or African American","Not Hispanic or Latino","3400 PIEDMONT AVE","Northwest","Hanlon-Longwood",39.316034,-76.675495,"Other/residential","4:43","a.m."
